datum,kategorija
10/3/2016,Tournament Winner (including playoffs)
5/2/2016, Tournament winner
8/10/2016,Grand Final Winner
8/27/2016, Tournament winner
10/8/2016,Grand Final Winner
11/1/2017, Tournament winner
4/10/2016,Antepost Tournament Winner (All bets stand)
6/19/2016,Antepost Tournament Winner (All bets stand)
9/1/2016, Tournament winner
1/23/2016,3-way - result
1/24/2016,3-way - result
1/30/2016,3-way - result
1/31/2016,3-way - result
2/13/2016,3-way - result
2/20/2016,3-way - result
2/27/2016,3-way - result
3/5/2016,3-way - result
3/27/2016,3-way - result
4/10/2016,3-way - result
8/18/2016,Will a Brazilian team win the Mens Beachvolleyball Gold Medal?
6/8/2016,Head-to-Head F. Grabich/S. Condorelli
8/6/2016,Head-to-Head Y. Sun/G. Paltrinieri
8/7/2016,Head-to-Head  D. Verraszto/C. Kalisz
3/19/2016,Antepost Winner (Others on request)
4/3/2016,Antepost Winner (Others on request)
4/10/2016,Antepost Winner (Others on request)
4/24/2016,Antepost Winner (Others on request)
7/2/2016,Stage Winner
7/24/2016,Will a rider from France win the stage on July 14?
8/10/2016,Who will win the gold medal? (others on request)
1/24/2016,Money Line
1/25/2016,Money Line
1/22/2016,Antepost Winner (Others on request)
1/30/2016,Total number of rounds - over/under
1/31/2016,Total number of rounds - over/under
2/7/2016,Total number of rounds - over/under
11/13/2016,Outright winner
10/22/2016, Tournament winner
